,Unnamed: 0,Unnamed: 0.1,center-lon,center-lat,xmin,ymin,xmax,ymax,strain-rate,strainratecor-ver2
0,0,0,129.0,31.0,128.89299417909734,30.910122862047572,129.10700582090266,31.089877137952428,0.0,0.0
1,1,1,129.0,31.089877137952428,128.89299417909734,31.0,129.10700582090266,31.17975427590484,0.0,0.0
2,2,2,129.0,31.17975427590484,128.89299417909734,31.089877137952428,129.10700582090266,31.269631413857255,0.0,0.0
3,3,3,129.0,31.269631413857255,128.89299417909734,31.17975427590484,129.10700582090266,31.35950855180968,0.0,0.0
4,4,4,129.0,31.35950855180968,128.89299417909734,31.269631413857255,129.10700582090266,31.449385689762106,0.0,0.0
5,5,5,129.0,31.449385689762106,128.89299417909734,31.35950855180968,129.10700582090266,31.539262827714523,0.0,0.0
6,6,6,129.0,31.539262827714523,128.89299417909734,31.449385689762106,129.10700582090266,31.629139965666948,0.0,0.0
7,7,7,129.0,31.629139965666948,128.89299417909734,31.539262827714523,129.10700582090266,31.71901710361936,0.0,0.0
8,8,8,129.0,31.71901710361936,128.89299417909734,31.629139965666948,129.10700582090266,31.808894241571785,0.0,0.0
9,9,9,129.0,31.808894241571785,128.89299417909734,31.71901710361936,129.10700582090266,31.898771379524213,0.0,0.0
10,10,10,129.0,31.898771379524213,128.89299417909734,31.808894241571785,129.10700582090266,31.988648517476626,0.0,0.0
11,11,11,129.0,31.988648517476626,128.89299417909734,31.898771379524213,129.10700582090266,32.07852565542905,0.0,0.0
12,12,12,129.0,32.07852565542905,128.89299417909734,31.988648517476626,129.10700582090266,32.16840279338147,0.0,0.0
13,13,13,129.0,32.16840279338147,128.89299417909734,32.07852565542905,129.10700582090266,32.25827993133389,0.0,0.0
14,14,14,129.0,32.25827993133389,128.89299417909734,32.16840279338147,129.10700582090266,32.34815706928631,0.0,0.0
15,15,15,129.0,32.34815706928631,128.89299417909734,32.25827993133389,129.10700582090266,32.43803420723873,0.0,0.0
16,16,16,129.0,32.43803420723873,128.89299417909734,32.34815706928631,129.10700582090266,32.52791134519115,0.0,0.0
17,17,17,129.0,32.52791134519115,128.89299417909734,32.43803420723873,129.10700582090266,32.61778848314357,0.0,0.0
18,18,18,129.0,32.61778848314357,128.89299417909734,32.52791134519115,129.10700582090266,32.707665621095984,0.0,0.0
19,19,19,129.0,32.707665621095984,128.89299417909734,32.61778848314357,129.10700582090266,32.79754275904841,0.0,0.0
20,20,20,129.0,32.79754275904841,128.89299417909734,32.707665621095984,129.10700582090266,32.887419897000825,0.0,0.0
21,21,21,129.0,32.887419897000825,128.89299417909734,32.79754275904841,129.10700582090266,32.97729703495325,0.0,0.0
22,22,22,129.0,32.97729703495325,128.89299417909734,32.887419897000825,129.10700582090266,33.06717417290567,0.0,0.0
23,23,23,129.0,33.06717417290567,128.89299417909734,32.97729703495325,129.10700582090266,33.15705131085809,0.0,0.0
24,24,24,129.0,33.15705131085809,128.89299417909734,33.06717417290567,129.10700582090266,33.246928448810515,0.0,0.0
25,25,25,129.0,33.246928448810515,128.89299417909734,33.15705131085809,129.10700582090266,33.33680558676293,0.0,0.0
26,26,26,129.0,33.33680558676293,128.89299417909734,33.246928448810515,129.10700582090266,33.42668272471536,0.0,0.0
27,27,27,129.0,33.42668272471536,128.89299417909734,33.33680558676293,129.10700582090266,33.516559862667776,0.0,0.0
28,28,28,129.0,33.516559862667776,128.89299417909734,33.42668272471536,129.10700582090266,33.6064370006202,0.0,0.0
29,29,29,129.0,33.6064370006202,128.89299417909734,33.516559862667776,129.10700582090266,33.696314138572625,0.0,0.0
30,30,30,129.0,33.696314138572625,128.89299417909734,33.6064370006202,129.10700582090266,33.78619127652504,0.0,0.0
31,31,31,129.0,33.78619127652504,128.89299417909734,33.696314138572625,129.10700582090266,33.876068414477466,0.0,0.0
32,32,32,129.0,33.876068414477466,128.89299417909734,33.78619127652504,129.10700582090266,33.96594555242988,0.0,0.0
33,33,33,129.0,33.96594555242988,128.89299417909734,33.876068414477466,129.10700582090266,34.0558226903823,0.0,0.0
34,34,34,129.10700582090266,31.0,129.0,30.910122862047572,129.2140116418053,31.089877137952428,0.0,0.0
35,35,35,129.10700582090266,31.089877137952428,129.0,31.0,129.2140116418053,31.17975427590484,0.0,0.0
36,36,36,129.10700582090266,31.17975427590484,129.0,31.089877137952428,129.2140116418053,31.269631413857255,0.0,0.0
37,37,37,129.10700582090266,31.269631413857255,129.0,31.17975427590484,129.2140116418053,31.35950855180968,0.0,0.0
38,38,38,129.10700582090266,31.35950855180968,129.0,31.269631413857255,129.2140116418053,31.449385689762106,0.0,0.0
39,39,39,129.10700582090266,31.449385689762106,129.0,31.35950855180968,129.2140116418053,31.539262827714523,0.0,0.0
40,40,40,129.10700582090266,31.539262827714523,129.0,31.449385689762106,129.2140116418053,31.629139965666948,0.0,0.0
41,41,41,129.10700582090266,31.629139965666948,129.0,31.539262827714523,129.2140116418053,31.71901710361936,0.0,0.0
42,42,42,129.10700582090266,31.71901710361936,129.0,31.629139965666948,129.2140116418053,31.808894241571785,0.0,0.0
43,43,43,129.10700582090266,31.808894241571785,129.0,31.71901710361936,129.2140116418053,31.898771379524213,0.0,0.0
44,44,44,129.10700582090266,31.898771379524213,129.0,31.808894241571785,129.2140116418053,31.988648517476626,0.0,0.0
45,45,45,129.10700582090266,31.988648517476626,129.0,31.898771379524213,129.2140116418053,32.07852565542905,0.0,0.0
46,46,46,129.10700582090266,32.07852565542905,129.0,31.988648517476626,129.2140116418053,32.16840279338147,0.0,0.0
