番号,断層名,長さ(km),断層型,断層面の長さ(km),平均変位速度[m/千年],変位の向き,一般走向,過去の活動時期,水平歪速度,西(北)端(緯度),西(北)端(経度),東(南)端(緯度),東(南)端(経度)
7,水縄断層帯,26,正,26,0.2,東西,-,,,33.19.0,130.50.0,33.18.0,130.33.0
8,佐賀平野北縁断層帯,22,正,38,0.35,東西,N 89°E,,,33.18.6,130.12.7,33.19.4,130.24.8
9−1,別府湾－日出生断層帯　東部,43,正,43,3,東西,N 85°E,,,33.21.0,131.58.0,33.19.0,131.31.0
9−2,別府湾－日出生断層帯　西部,32,正,32,0.15,東西,E-W,,,33.20.0,131.30.0,33.20.0,131.09.0
9−3,大分平野ー由布院断層帯　東部,27,正,27,3,東西,N 80°W,,,33.15.0,131.43.0,33.18.0,131.26.0
9−4,大分平野ー由布院断層帯　西部,14,正,14,-,東西,N 80°E,,,33.15.0,131.26.0,33.15.0,131.18.0
9−5,野稲岳ー万年山断層帯,30,正,30,0.6,東西,E-W,,,33.14.0,131.19.0,33.14.0,130.59.0
9−6,崩平山ー亀石山断層帯,34,正,34,0.25,東西,E-W,,,33.10.0,131.21.0,33.12.0,130.59.0
10ー1,雲仙断層群  北部,30,正,30,-,東西,E-W,,,32.46.0,130.22.0,32.45.0,130.04.0
10ー2,雲仙断層群  南東部,23,正,23,-,東西,N 80°W,約７千３百年前以後,,32.43.0,130.30.0,32.45.0,130.25.0
10ー3,雲仙断層群  南西部　北部,30,正,30,1,東西,E-W,,,32.43.0,130.17.0,32.42.0,129.57.0
10ー4,雲仙断層群  南西部　南部,23,正,23,0.3,東西,N 80°E,,,32.40.0,130.07.0,32.37.0,129.53.0
11ー1,布田川断層帯　布田川区間,19,右横ずれ,19,0.2,北東〜南西,N 55°E,,,32.52.0,130.59.0,32.46.0,130.49.0
11ー2,布田川断層帯　宇土区間,20,逆,20,0.35,北東〜南西,N 62°E,,,32.46.0,130.49.0,32.41.0,130.38.0
11ー3,布田川断層帯　宇土半島北岸区間,27,逆,27,-,北東〜南西,N 61°E,,,32.43.0,130.38.0,32.36.0,130.23.0
11ー4,日奈久断層帯　高野ー白旗区間,16,右横ずれ(逆),16,0.22(上下),北北東〜南南西,N 23°E,,,32.46.0,130.49.0,32.13.0,130.45.0
11ー5,日奈久断層帯　日奈久区間,40,右横ずれ,40,0.7,北東〜南西,N 39°E,,,32.38.0,130.45.0,32.21.0,130.29.0
11ー6,日奈久断層帯　八代海区間,30,右横ずれ,30,-,北東〜南西,N 47°E,約１千７百年前以後、約９百年前以前,,32.22.0,130.28.0,32.11.0,130.14.0
12,緑川断層帯,34,正,34,0.075,東北東〜西南西,N 71°E,,,32.41.1,131.08.4,32.35.1,130.48.1
13,人吉盆地南縁断層,22,正,22,0.15,北東〜南西,N 60°E,,,32.16.0,131.00.0,32.09.0,130.48.0
14,出水断層帯,20,正,20,0.15,北東〜南西,N 50°E,,,32.08.0,130.26.0,32.01.0,130.17.0
15,甑断層帯,17,右横ずれ,17,-,北東〜南西,N 31°E,,,32.03.8,130.02.1,31.55.8,129.56.4
16ー1,市来断層帯　市来区間,17,正,25,-,東北東〜西南西,N 86°E,,,31.43.7,130.11.5,31.44.3,130.22.3
16ー2,市来断層帯　甑海峡中央区間,38,正,38,-,北東〜南西,N 32°E,,,31.45.8,130.08.1,31.28.4,129.55.6
16ー3,市来断層帯　吹上浜西方沖区間,20,正,20,-,北東〜南西,N 43°E,,,31.38.0,130.17.9,31.30.0,130.09.2
