,名前,displacement speed (m/year)
41,警固断層帯　南東部,0.02
39,宇美断層,0.025
21,福智山断層帯,0.025
28,雨滝－釜戸断層,0.05
9,周防灘断層帯（秋穂沖断層区間）,0.1
10,安芸灘断層帯,0.1
34,宇部南方沖断層,0.1
23,布田川断層帯　布田川区間,0.2
2,草谷断層,0.2
8,周防灘断層帯（周防灘断層帯主部区間）,0.2
11,広島湾－岩国沖断層帯,0.2
24,日奈久断層帯　高野ー白旗区間,0.21
31,菊川断層帯（北部区間）,0.3
43,鹿野－吉岡断層,0.45
7,岩国－五日市断層帯（岩国断層区間）,0.45
0,宍道（鹿島）断層,0.5
20,小倉東断層,0.65
25,日奈久断層帯　日奈久区間,0.7
30,山崎断層帯（主部南東部区間）,0.8
12,弥栄断層,0.8
32,菊川断層帯（中部区間）,0.85
29,山崎断層帯（主部北西部区間）,1.0
