,番号,地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度,検索対象最大震度,Unnamed: 9,lat,lon
87,88,30:51.4,有明海,32°45.0′N,130°32.4′E,9km,Ｍ4.8,4,4,,32.75,130.53444444444443
88,89,56:32.5,熊本県熊本地方,32°39.3′N,130°41.7′E,9km,Ｍ3.7,4,4,,32.65083333333333,130.68527777777777
89,90,38:05.1,熊本県熊本地方,32°35.2′N,130°40.0′E,10km,Ｍ4.1,4,4,,32.58388888888889,130.66666666666666
90,91,44:07.4,熊本県熊本地方,32°39.5′N,130°40.5′E,11km,Ｍ4.5,4,4,,32.65138888888889,130.66805555555555
91,92,27:39.6,トカラ列島近海,29°37.1′N,129°45.3′E,8km,Ｍ4.2,4,4,,29.616944444444446,129.75083333333333
92,93,28:25.9,熊本県熊本地方,32°42.6′N,130°42.6′E,13km,Ｍ3.6,4,4,,32.70166666666667,130.70166666666665
93,94,43:57.3,熊本県阿蘇地方,33°00.4′N,131°13.9′E,11km,Ｍ4.2,4,4,,33.00111111111111,131.21916666666667
94,95,16:51.3,大分県中部,33°18.9′N,131°29.2′E,5km,Ｍ3.8,4,4,,33.302499999999995,131.48388888888888
95,96,27:43.8,大分県中部,33°18.1′N,131°28.9′E,8km,Ｍ3.9,4,4,,33.30027777777777,131.46916666666667
96,97,20:01.1,熊本県阿蘇地方,33°00.8′N,131°11.0′E,7km,Ｍ4.1,4,4,,33.00222222222222,131.18333333333334
97,98,53:39.5,熊本県熊本地方,32°42.5′N,130°42.2′E,15km,Ｍ3.8,4,4,,32.70138888888889,130.70055555555555
98,99,18:25.6,熊本県熊本地方,32°40.8′N,130°42.7′E,11km,Ｍ3.9,4,4,,32.66888888888889,130.70194444444442
99,100,35:43.0,熊本県熊本地方,32°52.1′N,130°52.4′E,10km,Ｍ4.2,4,4,,32.86694444444444,130.86777777777777
