0,宍道（鹿島）断層,35.53472222222222,133.185
1,雨滝－釜戸断層,35.43472222222222,134.3836111111111
2,鹿野－吉岡断層,35.43388888888889,134.01777777777778
3,日南湖断層,35.15138888888889,133.3675
4,岩坪断層,35.40138888888889,134.15
5,那岐山断層帯,35.150277777777774,134.2186111111111
6,山崎断層帯（主部北西部区間）,34.88388888888889,134.7188888888889
7,山崎断層帯（主部南東部区間）,34.78333333333333,135.00222222222223
8,草谷断層,34.784166666666664,135.00027777777777
9,長者ヶ原－芳井断層,34.467777777777776,133.23583333333332
10,宇津戸断層,34.60055555555556,133.16805555555555
11,安田断層,34.734722222222224,133.03416666666666
12,菊川断層帯（北部区間）,34.35055555555556,130.7188888888889
13,菊川断層帯（中部区間）,34.08444444444444,131.06805555555556
14,菊川断層帯（南部区間）,33.93444444444444,131.18333333333334
15,岩国－五日市断層帯（己斐断層区間）,34.31916666666667,132.33555555555557
16,岩国－五日市断層帯（五日市断層区間）,34.28444444444444,132.2838888888889
17,岩国－五日市断層帯（岩国断層区間）,34.03444444444444,131.8513888888889
18,周防灘断層帯（周防灘断層帯主部区間）,33.66722222222222,131.36916666666667
19,周防灘断層帯（秋穂沖断層区間）,33.751666666666665,131.36777777777777
20,安芸灘断層帯,34.117222222222225,132.41722222222222
21,広島湾－岩国沖断層帯,34.03333333333333,132.18333333333334
22,宇部南方沖断層,33.73583333333333,131.30166666666668
23,弥栄断層,34.45,131.76777777777778
24,地福断層,34.23444444444444,131.5011111111111
25,大原湖断層,34.1675,131.45166666666665
26,小郡断層,33.901111111111106,131.26916666666668
27,筒賀断層,34.40138888888889,132.0188888888889
28,滝部断層,34.28333333333333,130.9688888888889
29,奈古断層,34.48527777777778,131.46694444444444
30,栄谷断層,34.052499999999995,131.81722222222223
31,黒瀬断層,34.335,132.68416666666667
32,小倉東断層,33.768055555555556,130.8675
33,福智山断層帯,33.66861111111111,130.81666666666666
34,西山断層帯　大島沖区間,33.916666666666664,130.4
35,西山断層帯　西山区間,33.6,130.66666666666666
36,西山断層帯　嘉麻峠区間,33.385,130.86916666666667
37,杷木断層,33.352222222222224,130.80027777777778
38,宇美断層,33.500277777777775,130.55194444444444
39,警固断層帯　北西部,33.666666666666664,130.3
40,警固断層帯　南東部,33.46666666666667,130.53333333333333
41,日向峠－小笠木峠断層帯,33.38583333333333,130.5
42,水縄断層帯,33.3,130.55
43,佐賀平野北縁断層帯,33.31777777777778,130.40222222222224
44,別府湾－日出生断層帯　東部,33.31666666666667,131.51666666666668
45,別府湾－日出生断層帯　西部,33.333333333333336,131.15
46,大分平野ー由布院断層帯　東部,33.3,131.43333333333334
47,大分平野ー由布院断層帯　西部,33.25,131.3
48,野稲岳ー万年山断層帯,33.233333333333334,130.98333333333332
49,崩平山ー亀石山断層帯,33.2,130.98333333333332
50,雲仙断層群  北部,32.75,130.06666666666666
51,雲仙断層群  南東部,32.75,130.41666666666666
52,雲仙断層群  南西部　北部,32.7,129.95
53,雲仙断層群  南西部　南部,32.61666666666667,129.88333333333333
54,布田川断層帯　布田川区間,32.766666666666666,130.81666666666666
55,布田川断層帯　宇土区間,32.68333333333333,130.63333333333333
56,布田川断層帯　宇土半島北岸区間,32.6,130.38333333333333
57,日奈久断層帯　高野ー白旗区間,32.21666666666667,130.75
58,日奈久断層帯　日奈久区間,32.35,130.48333333333332
59,日奈久断層帯　八代海区間,32.18333333333333,130.23333333333332
60,緑川断層帯,32.58361111111111,130.80027777777778
61,人吉盆地南縁断層,32.15,130.8
62,出水断層帯,32.016666666666666,130.28333333333333
63,甑断層帯,31.91888888888889,129.93444444444444
64,市来断層帯　市来区間,31.734166666666667,130.3675
65,市来断層帯　甑海峡中央区間,31.467777777777776,129.91833333333332
66,市来断層帯　吹上浜西方沖区間,31.5,130.15055555555557
