,Unnamed: 0,Unnamed: 0.1,center-lon,center-lat,xmin,ymin,xmax,ymax,strain-rate,strainratecor
0,0,0,130.7,33.7,130.4859883581947,33.52024572409516,130.91401164180527,33.879754275904844,4.5955116888658283e-07,459.55116888658284
1,1,1,130.7,33.879754275904844,130.4859883581947,33.7,130.91401164180527,34.059508551809685,2.803125e-07,280.3125
2,2,2,130.7,34.059508551809685,130.4859883581947,33.879754275904844,130.91401164180527,34.239262827714526,2.470950653054306e-07,247.09506530543058
3,3,3,130.7,34.239262827714526,130.4859883581947,34.059508551809685,130.91401164180527,34.41901710361937,4.390243052331824e-07,439.0243052331824
4,4,4,130.7,34.41901710361937,130.4859883581947,34.239262827714526,130.91401164180527,34.59877137952421,8.8101641385467e-07,881.01641385467
5,5,5,130.7,34.59877137952421,130.4859883581947,34.41901710361937,130.91401164180527,34.77852565542905,2.2099605431074376e-07,220.99605431074377
6,6,6,130.7,34.77852565542905,130.4859883581947,34.59877137952421,130.91401164180527,34.95827993133389,0.0,0.0
7,7,7,130.7,34.95827993133389,130.4859883581947,34.77852565542905,130.91401164180527,35.13803420723873,0.0,0.0
8,8,8,130.7,35.13803420723873,130.4859883581947,34.95827993133389,130.91401164180527,35.317788483143566,0.0,0.0
9,9,9,130.7,35.317788483143566,130.4859883581947,35.13803420723873,130.91401164180527,35.49754275904841,0.0,0.0
10,10,10,130.7,35.49754275904841,130.4859883581947,35.317788483143566,130.91401164180527,35.677297034953256,0.0,0.0
11,11,11,130.7,35.677297034953256,130.4859883581947,35.49754275904841,130.91401164180527,35.857051310858104,0.0,0.0
12,12,12,130.91401164180527,33.7,130.7,33.52024572409516,131.12802328361056,33.879754275904844,2.757307013319497e-07,275.7307013319497
13,13,13,130.91401164180527,33.879754275904844,130.7,33.7,131.12802328361056,34.059508551809685,1.1843341745932221e-07,118.43341745932221
14,14,14,130.91401164180527,34.059508551809685,130.7,33.879754275904844,131.12802328361056,34.239262827714526,1.3756604000405809e-06,1375.660400040581
15,15,15,130.91401164180527,34.239262827714526,130.7,34.059508551809685,131.12802328361056,34.41901710361937,1.429058242254561e-07,142.90582422545612
16,16,16,130.91401164180527,34.41901710361937,130.7,34.239262827714526,131.12802328361056,34.59877137952421,1.0717936816909207e-07,107.17936816909207
17,17,17,130.91401164180527,34.59877137952421,130.7,34.41901710361937,131.12802328361056,34.77852565542905,0.0,0.0
18,18,18,130.91401164180527,34.77852565542905,130.7,34.59877137952421,131.12802328361056,34.95827993133389,0.0,0.0
19,19,19,130.91401164180527,34.95827993133389,130.7,34.77852565542905,131.12802328361056,35.13803420723873,0.0,0.0
20,20,20,130.91401164180527,35.13803420723873,130.7,34.95827993133389,131.12802328361056,35.317788483143566,0.0,0.0
21,21,21,130.91401164180527,35.317788483143566,130.7,35.13803420723873,131.12802328361056,35.49754275904841,0.0,0.0
22,22,22,130.91401164180527,35.49754275904841,130.7,35.317788483143566,131.12802328361056,35.677297034953256,0.0,0.0
23,23,23,130.91401164180527,35.677297034953256,130.7,35.49754275904841,131.12802328361056,35.857051310858104,0.0,0.0
24,24,24,131.12802328361056,33.7,130.91401164180527,33.52024572409516,131.34203492541585,33.879754275904844,7.03125e-08,70.3125
25,25,25,131.12802328361056,33.879754275904844,130.91401164180527,33.7,131.34203492541585,34.059508551809685,2.7939498399188727e-07,279.3949839918873
26,26,26,131.12802328361056,34.059508551809685,130.91401164180527,33.879754275904844,131.34203492541585,34.239262827714526,7.846502347250054e-07,784.6502347250055
