,center-point,bbox
201,"(35.412093134442344, 132.31778848314343)","(35.198081492637051, 132.1380342072386, 35.626104776247637, 132.49754275904826)"
202,"(35.412093134442344, 132.49754275904826)","(35.198081492637051, 132.31778848314343, 35.626104776247637, 132.67729703495309)"
203,"(35.412093134442344, 132.67729703495309)","(35.198081492637051, 132.49754275904826, 35.626104776247637, 132.85705131085791)"
204,"(35.412093134442344, 132.85705131085791)","(35.198081492637051, 132.67729703495309, 35.626104776247637, 133.03680558676274)"
205,"(35.412093134442344, 133.03680558676274)","(35.198081492637051, 132.85705131085791, 35.626104776247637, 133.21655986266757)"
206,"(35.412093134442344, 133.21655986266757)","(35.198081492637051, 133.03680558676274, 35.626104776247637, 133.39631413857239)"
207,"(35.412093134442344, 133.39631413857239)","(35.198081492637051, 133.21655986266757, 35.626104776247637, 133.57606841447722)"
208,"(35.412093134442344, 133.57606841447722)","(35.198081492637051, 133.39631413857239, 35.626104776247637, 133.75582269038205)"
209,"(35.412093134442344, 133.75582269038205)","(35.198081492637051, 133.57606841447722, 35.626104776247637, 133.93557696628687)"
210,"(35.412093134442344, 133.93557696628687)","(35.198081492637051, 133.75582269038205, 35.626104776247637, 134.1153312421917)"
211,"(35.412093134442344, 134.1153312421917)","(35.198081492637051, 133.93557696628687, 35.626104776247637, 134.29508551809653)"
212,"(35.412093134442344, 134.29508551809653)","(35.198081492637051, 134.1153312421917, 35.626104776247637, 134.47483979400135)"
213,"(35.412093134442344, 134.47483979400135)","(35.198081492637051, 134.29508551809653, 35.626104776247637, 134.65459406990618)"
214,"(35.412093134442344, 134.65459406990618)","(35.198081492637051, 134.47483979400135, 35.626104776247637, 134.83434834581101)"
215,"(35.412093134442344, 134.83434834581101)","(35.198081492637051, 134.65459406990618, 35.626104776247637, 135.01410262171584)"
216,"(35.626104776247637, 130.69999999999999)","(35.412093134442344, 130.52024572409516, 35.840116418052929, 130.87975427590482)"
217,"(35.626104776247637, 130.87975427590482)","(35.412093134442344, 130.69999999999999, 35.840116418052929, 131.05950855180964)"
218,"(35.626104776247637, 131.05950855180964)","(35.412093134442344, 130.87975427590482, 35.840116418052929, 131.23926282771447)"
219,"(35.626104776247637, 131.23926282771447)","(35.412093134442344, 131.05950855180964, 35.840116418052929, 131.4190171036193)"
220,"(35.626104776247637, 131.4190171036193)","(35.412093134442344, 131.23926282771447, 35.840116418052929, 131.59877137952412)"
221,"(35.626104776247637, 131.59877137952412)","(35.412093134442344, 131.4190171036193, 35.840116418052929, 131.77852565542895)"
222,"(35.626104776247637, 131.77852565542895)","(35.412093134442344, 131.59877137952412, 35.840116418052929, 131.95827993133378)"
223,"(35.626104776247637, 131.95827993133378)","(35.412093134442344, 131.77852565542895, 35.840116418052929, 132.1380342072386)"
224,"(35.626104776247637, 132.1380342072386)","(35.412093134442344, 131.95827993133378, 35.840116418052929, 132.31778848314343)"
225,"(35.626104776247637, 132.31778848314343)","(35.412093134442344, 132.1380342072386, 35.840116418052929, 132.49754275904826)"
226,"(35.626104776247637, 132.49754275904826)","(35.412093134442344, 132.31778848314343, 35.840116418052929, 132.67729703495309)"
227,"(35.626104776247637, 132.67729703495309)","(35.412093134442344, 132.49754275904826, 35.840116418052929, 132.85705131085791)"
228,"(35.626104776247637, 132.85705131085791)","(35.412093134442344, 132.67729703495309, 35.840116418052929, 133.03680558676274)"
229,"(35.626104776247637, 133.03680558676274)","(35.412093134442344, 132.85705131085791, 35.840116418052929, 133.21655986266757)"
230,"(35.626104776247637, 133.21655986266757)","(35.412093134442344, 133.03680558676274, 35.840116418052929, 133.39631413857239)"
231,"(35.626104776247637, 133.39631413857239)","(35.412093134442344, 133.21655986266757, 35.840116418052929, 133.57606841447722)"
